BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 3141  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel                              
IRAF-MIN=                   0.  /  Min image pixel                              
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = '07D4FL            '  /                                              
FILENAME= '07D4FLFC_RECAL2_ATM[*,1,1]'  /
6073.86787474164  1.162112E-18
6075.23530220994  1.136907E-18
6076.60272967824  8.200005E-19
6077.97015714654  1.046851E-18
6079.33758461484  1.358205E-18
6080.70501208314  1.072850E-18
6082.07243955144  7.690111E-19
6083.43986701974  1.093972E-18
6084.80729448804  1.130121E-18
6086.17472195634  1.102728E-18
6087.54214942464  1.355755E-18
6088.90957689294  1.279638E-18
6090.27700436124  8.799820E-19
6091.64443182954  9.822811E-19
6093.01185929784  1.041195E-18
6094.37928676614  9.007526E-19
6095.74671423444  1.000416E-18
6097.11414170274  6.962010E-19
6098.48156917104  9.913145E-19
6099.84899663934  1.138826E-18
6101.21642410764  1.024706E-18
6102.58385157594  1.051253E-18
6103.95127904424  1.065186E-18
6105.31870651254  9.642690E-19
6106.68613398084  9.795093E-19
6108.05356144914  1.249908E-18
6109.42098891744  1.306915E-18
6110.78841638574  1.007216E-18
6112.15584385404  1.141902E-18
6113.52327132234  1.244217E-18
6114.89069879064  1.109296E-18
6116.25812625894  9.919885E-19
6117.62555372724  9.928440E-19
6118.99298119554  8.057178E-19
6120.36040866384  8.675668E-19
6121.72783613214  7.034332E-19
6123.09526360044  7.667787E-19
6124.46269106874  8.319482E-19
6125.83011853704  8.800151E-19
6127.19754600534  1.072875E-18
6128.56497347364  8.674529E-19
6129.93240094194  9.850338E-19
6131.29982841024  6.969017E-19
6132.66725587854  1.112487E-18
6134.03468334684  9.879347E-19
6135.40211081514  3.341050E-19
6136.76953828344  9.311409E-19
6138.13696575174  9.143996E-19
6139.50439322004  1.006373E-18
6140.87182068834  7.893469E-19
6142.23924815664  9.117609E-19
6143.60667562494  1.095705E-18
6144.97410309324  1.068320E-18
6146.34153056154  1.005181E-18
6147.70895802984  1.161887E-18
6149.07638549814  1.253574E-18
6150.44381296644  1.307063E-18
6151.81124043474  1.253605E-18
6153.17866790304  1.349905E-18
6154.54609537134  6.369047E-19
6155.91352283964  3.355563E-19
6157.28095030794  9.255843E-19
6158.64837777624  1.098852E-18
6160.01580524454  1.232124E-18
6161.38323271283  6.080793E-19
6162.75066018114  1.044047E-18
6164.11808764944  9.773091E-19
6165.48551511774  6.785162E-19
6166.85294258604  1.086299E-18
6168.22037005434  8.432754E-19
6169.58779752264  6.987379E-19
6170.95522499094  5.385699E-19
6172.32265245924  1.159961E-18
6173.69007992753  8.740934E-19
6175.05750739584  7.079247E-19
6176.42493486414  6.719780E-19
6177.79236233244  7.072007E-19
6179.15978980074  9.057629E-19
6180.52721726903  7.058994E-19
6181.89464473734  6.403642E-19
6183.26207220563  6.985135E-19
6184.62949967394  7.291224E-19
6185.99692714223  8.025863E-19
6187.36435461053  8.464572E-19
6188.73178207883  1.347173E-18
6190.09920954713  7.398652E-19
6191.46663701543  1.058599E-18
6192.83406448373  1.142876E-18
6194.20149195203  1.032534E-18
6195.56891942033  8.669965E-19
6196.93634688863  1.073418E-18
6198.30377435693  9.750664E-19
6199.67120182523  7.629946E-19
6201.03862929353  6.790096E-19
6202.40605676183  6.662399E-19
6203.77348423013  8.493868E-19
6205.14091169843  9.723880E-19
6206.50833916673  9.310179E-19
6207.87576663503  9.225433E-19
6209.24319410333  9.759274E-19
6210.61062157163  7.328343E-19
6211.97804903993  5.878574E-19
6213.34547650823  6.234696E-19
6214.71290397653  8.643530E-19
6216.08033144483  8.129184E-19
6217.44775891313  6.310571E-19
6218.81518638143  9.704072E-19
6220.18261384973  9.466788E-19
6221.55004131803  1.169237E-18
6222.91746878633  1.030804E-18
6224.28489625463  4.017280E-19
6225.65232372293  6.839794E-19
6227.01975119123  9.907709E-19
6228.38717865953  7.929709E-19
6229.75460612783  9.420005E-19
6231.12203359613  8.774551E-19
6232.48946106443  9.480000E-19
6233.85688853273  7.199988E-19
6235.22431600103  7.856903E-19
6236.59174346933  1.100409E-18
6237.95917093763  6.925930E-19
6239.32659840593  7.376129E-19
6240.69402587423  1.214995E-18
6242.06145334253  1.052764E-18
6243.42888081083  9.212388E-19
6244.79630827913  9.203338E-19
6246.16373574743  1.022516E-18
6247.53116321573  8.595848E-19
6248.89859068403  4.769416E-19
6250.26601815233  1.108208E-18
6251.63344562063  1.359030E-18
6253.00087308893  1.177228E-18
6254.36830055723  7.818799E-19
6255.73572802553  6.816371E-19
6257.10315549383  1.022729E-18
6258.47058296213  5.766735E-19
6259.83801043043  9.529287E-19
6261.20543789873  1.233961E-18
6262.57286536703  8.909859E-19
6263.94029283533  1.127039E-18
6265.30772030363  5.446996E-19
6266.67514777193  6.771959E-19
6268.04257524023  7.023947E-19
6269.41000270853  5.573105E-19
6270.77743017683  7.156543E-19
6272.14485764513  1.046949E-18
6273.51228511343  9.002960E-19
6274.87971258173  9.170965E-19
6276.24714005003  7.377284E-19
6277.61456751833  6.161994E-19
6278.98199498663  5.627768E-19
6280.34942245493  5.379578E-19
6281.71684992323  6.700156E-19
6283.08427739153  7.064062E-19
6284.45170485983  1.026742E-18
6285.81913232813  9.075605E-19
6287.18655979643  1.090201E-18
6288.55398726473  6.858816E-19
6289.92141473303  3.156729E-19
6291.28884220133  5.490871E-19
6292.65626966963  7.657066E-19
6294.02369713793  6.698774E-19
6295.39112460623  5.348461E-19
6296.75855207453  5.475810E-19
6298.12597954283  8.690897E-19
6299.49340701113  6.414368E-19
6300.86083447943  9.428528E-19
6302.22826194773  1.485559E-18
6303.59568941603  1.238085E-18
6304.96311688433  1.223396E-18
6306.33054435263  9.194716E-19
6307.69797182093  5.347029E-19
6309.06539928923  8.319479E-19
6310.43282675753  8.560587E-19
6311.80025422583  9.289539E-19
6313.16768169413  7.888876E-19
6314.53510916243  8.625645E-19
6315.90253663073  6.867598E-19
6317.26996409903  1.067961E-18
6318.63739156733  6.186010E-19
6320.00481903562  5.621601E-19
6321.37224650393  9.658515E-19
6322.73967397222  9.887008E-19
6324.10710144053  8.817136E-19
6325.47452890882  7.539999E-19
6326.84195637712  9.159570E-19
6328.20938384543  8.707926E-19
6329.57681131372  3.229827E-19
6330.94423878202  4.990283E-19
6332.31166625032  9.678357E-19
6333.67909371862  7.189995E-19
6335.04652118692  8.114490E-19
6336.41394865522  7.326254E-19
6337.78137612352  5.990471E-19
6339.14880359182  6.530352E-19
6340.51623106012  6.299680E-19
6341.88365852842  8.018378E-19
6343.25108599672  7.257858E-19
6344.61851346502  6.625149E-19
6345.98594093332  7.572350E-19
6347.35336840162  5.806736E-19
6348.72079586992  2.952974E-19
6350.08822333822  7.169446E-19
6351.45565080652  7.385930E-19
6352.82307827482  6.579617E-19
6354.19050574312  8.781356E-19
6355.55793321142  8.590176E-19
6356.92536067972  7.222200E-19
6358.29278814802  5.242838E-19
6359.66021561632  2.682188E-19
6361.02764308462  6.383369E-19
6362.39507055292  3.287967E-19
6363.76249802122  2.442201E-19
6365.12992548952  6.960341E-19
6366.49735295782  1.001302E-18
6367.86478042612  6.409933E-19
6369.23220789442  5.349844E-19
6370.59963536272  5.339258E-19
6371.96706283102  6.069541E-19
6373.33449029932  7.386289E-19
6374.70191776762  6.811820E-19
6376.06934523592  9.769207E-19
6377.43677270422  6.812879E-19
6378.80420017252  4.956513E-19
6380.17162764082  5.356797E-19
6381.53905510912  6.206285E-19
6382.90648257742  3.152945E-19
6384.27391004572  6.034429E-19
6385.64133751402  7.864410E-19
6387.00876498232  6.468823E-19
6388.37619245062  6.279223E-19
6389.74361991892  5.773637E-19
6391.11104738722  6.843215E-19
6392.47847485552  6.499136E-19
6393.84590232382  5.771327E-19
6395.21332979212  5.060194E-19
6396.58075726042  4.972900E-19
6397.94818472872  3.411861E-19
6399.31561219702  4.343184E-19
6400.68303966532  6.545126E-19
6402.05046713362  5.904223E-19
6403.41789460192  4.755241E-19
6404.78532207022  3.393905E-19
6406.15274953852  5.152297E-19
6407.52017700682  6.543551E-19
6408.88760447512  7.477255E-19
6410.25503194342  7.717538E-19
6411.62245941172  4.459396E-19
6412.98988688002  7.061815E-19
6414.35731434832  4.220172E-19
6415.72474181662  5.260998E-19
6417.09216928492  5.958433E-19
6418.45959675322  5.776914E-19
6419.82702422152  2.401281E-19
6421.19445168982  1.891851E-20
6422.56187915812  6.093392E-19
6423.92930662642  6.924192E-19
6425.29673409472  4.665127E-19
6426.66416156302  5.034741E-19
6428.03158903132  4.571223E-19
6429.39901649962  3.567351E-19
6430.76644396792  2.563307E-19
6432.13387143622  5.828752E-19
6433.50129890452  9.607234E-19
6434.86872637282  1.225161E-18
6436.23615384112  8.005550E-19
6437.60358130942  7.235984E-19
6438.97100877772  2.284938E-18
6440.33843624602  5.992372E-19
6441.70586371432  7.571991E-19
6443.07329118262  6.586230E-19
6444.44071865092  5.599423E-19
6445.80814611922  5.671170E-19
6447.17557358752  5.337103E-19
6448.54300105582  3.962162E-19
6449.91042852412  3.217837E-19
6451.27785599242  4.695176E-19
6452.64528346072  4.216170E-19
6454.01271092902  6.074335E-19
6455.38013839732  7.847618E-19
6456.74756586562  7.602395E-19
6458.11499333392  5.265602E-19
6459.48242080222  4.442801E-19
6460.84984827052  4.864134E-19
6462.21727573881  2.974940E-19
6463.58470320711  5.355862E-19
6464.95213067542  3.730282E-19
6466.31955814371  3.675320E-19
6467.68698561201  3.600548E-19
6469.05441308032  5.426913E-19
6470.42184054861  5.926535E-19
6471.78926801691  4.807986E-19
6473.15669548521  4.330524E-19
6474.52412295351  2.695196E-19
6475.89155042181  4.411584E-19
6477.25897789011  4.577849E-19
6478.62640535841  4.451251E-19
6479.99383282671  5.111286E-19
6481.36126029501  4.951660E-19
6482.72868776331  5.359872E-19
6484.09611523161  4.318961E-19
6485.46354269991  4.763786E-19
6486.83097016821  5.893070E-19
6488.19839763651  5.926890E-19
6489.56582510481  4.828993E-19
6490.93325257311  5.646311E-19
6492.30068004141  6.661049E-19
6493.66810750971  3.954874E-19
6495.03553497801  2.262320E-19
6496.40296244631  6.466572E-19
6497.77038991461  8.821652E-19
6499.13781738291  7.703934E-19
6500.50524485121  8.307473E-19
6501.87267231951  7.450050E-19
6503.24009978781  6.109459E-19
6504.60752725611  5.545610E-19
6505.97495472441  5.422399E-19
6507.34238219271  5.994211E-19
6508.70980966101  4.239311E-19
6510.07723712931  4.716615E-19
6511.44466459761  5.796922E-19
6512.81209206591  6.103070E-19
6514.17951953421  6.894328E-19
6515.54694700251  4.987581E-19
6516.91437447081  6.995884E-19
6518.28180193911  6.467834E-19
6519.64922940741  7.044790E-19
6521.01665687571  7.336697E-19
6522.38408434401  5.654836E-19
6523.75151181231  2.963988E-19
6525.11893928061  4.406520E-19
6526.48636674891  4.495933E-19
6527.85379421721  9.946061E-19
6529.22122168551  7.506474E-19
6530.58864915381  6.491084E-19
6531.95607662211  5.235087E-19
6533.32350409041  7.297321E-19
6534.69093155871  5.280567E-19
6536.05835902701  5.857812E-19
6537.42578649531  7.589182E-19
6538.79321396361  6.833374E-19
6540.16064143191  5.842345E-19
6541.52806890021  8.521032E-19
6542.89549636851  8.316605E-19
6544.26292383681  1.029723E-19
6545.63035130511  7.318886E-19
6546.99777877341  8.600498E-19
6548.36520624171  7.142493E-19
6549.73263371001  8.182313E-19
6551.10006117831  3.417404E-19
6552.46748864661  7.262231E-19
6553.83491611491  5.899839E-19
6555.20234358321  9.133281E-19
6556.56977105151  6.972771E-19
6557.93719851981  6.537130E-19
6559.30462598811  9.388168E-19
6560.67205345641  7.727356E-19
6562.03948092471  9.187623E-19
6563.40690839301  6.973177E-19
6564.77433586131  6.917164E-19
6566.14176332961  6.424838E-19
6567.50919079791  6.583321E-19
6568.87661826621  6.760044E-19
6570.24404573451  6.092063E-19
6571.61147320281  3.876337E-19
6572.97890067111  4.495064E-19
6574.34632813941  5.330346E-19
6575.71375560771  7.608320E-19
6577.08118307601  7.177201E-19
6578.44861054431  5.450981E-19
6579.81603801261  4.872255E-19
6581.18346548091  7.577826E-19
6582.55089294921  6.950137E-19
6583.91832041751  8.993377E-19
6585.28574788581  7.043455E-19
6586.65317535411  7.454554E-19
6588.02060282241  7.916705E-19
6589.3880302907  1.061987E-18
6590.755457759  8.822880E-19
6592.12288522731  5.771465E-19
6593.49031269561  6.391013E-19
6594.8577401639  7.065434E-19
6596.2251676322  8.788355E-19
6597.59259510051  7.500085E-19
6598.96002256881  7.191459E-19
6600.3274500371  8.030638E-19
6601.6948775054  7.648087E-19
6603.0623049737  6.130998E-19
6604.429732442  8.205549E-19
6605.79715991031  1.059859E-18
6607.1645873786  8.473719E-19
6608.5320148469  1.007029E-18
6609.8994423152  8.564918E-19
6611.2668697835  8.389187E-19
6612.6342972518  9.205389E-19
6614.0017247201  6.916475E-19
6615.3691521884  8.570521E-19
6616.7365796567  9.181570E-19
6618.104007125  9.084858E-19
6619.4714345933  9.613302E-19
6620.8388620616  1.064405E-18
6622.2062895299  7.979038E-19
6623.5737169982  7.442145E-19
6624.9411444665  7.065594E-19
6626.3085719348  7.878374E-19
6627.6759994031  9.880424E-19
6629.0434268714  6.913449E-19
6630.4108543397  5.975020E-19
6631.778281808  6.678340E-19
6633.1457092763  7.922706E-19
6634.5131367446  9.530140E-19
6635.8805642129  7.465838E-19
6637.2479916812  7.635072E-19
6638.6154191495  7.359880E-19
6639.9828466178  6.176914E-19
6641.3502740861  7.912850E-19
6642.7177015544  6.372235E-19
6644.0851290227  7.539576E-19
6645.452556491  7.567285E-19
6646.8199839593  9.598281E-19
6648.1874114276  8.244365E-19
6649.5548388959  7.018987E-19
6650.9222663642  1.019381E-18
6652.2896938325  9.692622E-19
6653.6571213008  8.553870E-19
6655.0245487691  9.303383E-19
6656.3919762374  1.102455E-18
6657.7594037057  8.651474E-19
6659.126831174  9.224170E-19
6660.4942586423  9.561377E-19
6661.8616861106  1.012659E-18
6663.2291135789  8.334120E-19
6664.5965410472  8.157220E-19
6665.9639685155  7.923639E-19
6667.3313959838  1.073291E-18
6668.6988234521  1.111584E-18
6670.0662509204  8.799780E-19
6671.4336783887  8.645434E-19
6672.801105857  8.711603E-19
6674.1685333253  1.021156E-18
6675.5359607936  9.423696E-19
6676.9033882619  1.007089E-18
6678.2708157302  7.979296E-19
6679.6382431985  1.209333E-18
6681.0056706668  8.613890E-19
6682.3730981351  8.846787E-19
6683.7405256034  8.991808E-19
6685.1079530717  7.512533E-19
6686.47538054  8.541265E-19
6687.8428080083  9.749707E-19
6689.2102354766  9.982271E-19
6690.5776629449  1.006005E-18
6691.9450904132  9.371069E-19
6693.3125178815  8.957204E-19
6694.6799453498  1.064587E-18
6696.0473728181  7.486578E-19
6697.4148002864  8.832329E-19
6698.7822277547  9.468307E-19
6700.149655223  8.640202E-19
6701.5170826913  7.551974E-19
6702.8845101596  8.438137E-19
6704.2519376279  9.556061E-19
6705.6193650962  9.563680E-19
6706.9867925645  7.186855E-19
6708.3542200328  7.501192E-19
6709.7216475011  9.120206E-19
6711.0890749694  9.519502E-19
6712.4565024377  8.439356E-19
6713.823929906  8.464313E-19
6715.1913573743  1.018727E-18
6716.5587848426  1.010522E-18
6717.9262123109  1.134154E-18
6719.2936397792  9.640917E-19
6720.6610672475  8.571567E-19
6722.0284947158  8.394022E-19
6723.3959221841  8.671834E-19
6724.7633496524  1.175777E-18
6726.1307771207  1.174852E-18
6727.498204589  9.631411E-19
6728.8656320573  1.130000E-18
6730.2330595256  1.175650E-18
6731.6004869939  1.188361E-18
6732.9679144622  9.763549E-19
6734.33534193049  9.485086E-19
6735.7027693988  1.104365E-18
6737.07019686709  1.016888E-18
6738.4376243354  9.109231E-19
6739.80505180369  1.131721E-18
6741.17247927199  9.588768E-19
6742.53990674029  9.166856E-19
6743.9073342086  9.324988E-19
6745.27476167689  9.052565E-19
6746.64218914519  8.491789E-19
6748.00961661349  1.024482E-18
6749.3770440818  9.718666E-19
6750.74447155009  1.035298E-18
6752.11189901839  9.315992E-19
6753.47932648669  8.069479E-19
6754.84675395499  1.140713E-18
6756.21418142329  1.090128E-18
6757.58160889159  9.325405E-19
6758.94903635989  1.058239E-18
6760.31646382819  1.197811E-18
6761.68389129649  8.015133E-19
6763.05131876479  9.059504E-19
6764.41874623309  7.718579E-19
6765.78617370139  9.890538E-19
6767.15360116969  1.007595E-18
6768.52102863799  9.264774E-19
6769.88845610629  1.095791E-18
6771.25588357459  8.609307E-19
6772.62331104289  8.814755E-19
6773.99073851119  9.376659E-19
6775.35816597949  9.292480E-19
6776.72559344779  1.003210E-18
6778.09302091609  8.986321E-19
6779.46044838439  1.077577E-18
6780.82787585269  8.967568E-19
6782.19530332099  1.140165E-18
6783.56273078929  1.105181E-18
6784.93015825759  1.027587E-18
6786.29758572589  1.080595E-18
6787.66501319419  1.073731E-18
6789.03244066249  1.102227E-18
6790.39986813079  8.888505E-19
6791.76729559909  9.680204E-19
6793.13472306739  8.053260E-19
6794.50215053569  9.538694E-19
6795.86957800399  9.021753E-19
6797.23700547229  8.393251E-19
6798.60443294059  8.857172E-19
6799.97186040889  9.111386E-19
6801.33928787719  1.043094E-18
6802.70671534549  9.757143E-19
6804.07414281379  1.144554E-18
6805.44157028209  1.051426E-18
6806.80899775039  8.077726E-19
6808.17642521869  9.780654E-19
6809.54385268699  1.024586E-18
6810.91128015529  1.247862E-18
6812.27870762359  1.166754E-18
6813.64613509189  8.686876E-19
6815.01356256019  9.945856E-19
6816.38099002849  7.573620E-19
6817.74841749679  8.683708E-19
6819.11584496509  9.114853E-19
6820.48327243339  7.932575E-19
6821.85069990169  9.388890E-19
6823.21812736999  7.858875E-19
6824.58555483829  8.623177E-19
6825.95298230659  8.147655E-19
6827.32040977489  7.909358E-19
6828.68783724319  4.744859E-19
6830.05526471149  8.059810E-19
6831.42269217979  9.510438E-19
6832.79011964809  1.120406E-18
6834.15754711639  1.034845E-18
6835.52497458469  9.042071E-19
6836.89240205299  1.015256E-18
6838.25982952129  1.160881E-18
6839.62725698959  1.231009E-18
6840.99468445789  1.064533E-18
6842.36211192619  1.056983E-18
6843.72953939449  9.916972E-19
6845.09696686279  1.125074E-18
6846.46439433109  1.036054E-18
6847.83182179939  1.108064E-18
6849.19924926769  8.952585E-19
6850.56667673599  8.919991E-19
6851.93410420429  1.031411E-18
6853.30153167259  1.091450E-18
6854.66895914089  1.112612E-18
6856.03638660919  9.754439E-19
6857.40381407749  1.123612E-18
6858.77124154579  7.968209E-19
6860.13866901409  5.357338E-19
6861.50609648239  1.236154E-18
6862.87352395069  1.244681E-18
6864.24095141899  1.216933E-18
6865.60837888729  6.237618E-19
6866.97580635559  8.407299E-19
6868.34323382389  8.304896E-19
6869.71066129219  7.833268E-19
6871.07808876048  1.182154E-18
6872.44551622879  8.988016E-19
6873.81294369709  9.977910E-19
6875.18037116539  9.956488E-19
6876.54779863369  8.133112E-19
6877.91522610199  9.074471E-19
6879.28265357029  8.836611E-19
6880.65008103858  1.215292E-18
6882.01750850688  9.913461E-19
6883.38493597519  9.419902E-19
6884.75236344348  7.217974E-19
6886.11979091178  8.308238E-19
6887.48721838008  7.663648E-19
6888.85464584838  8.335617E-19
6890.22207331668  9.628094E-19
6891.58950078498  1.003079E-18
6892.95692825328  6.511901E-19
6894.32435572158  9.099821E-19
6895.69178318988  1.164261E-18
6897.05921065818  8.898832E-19
6898.42663812648  1.038874E-18
6899.79406559478  8.154250E-19
6901.16149306308  7.549399E-19
6902.52892053138  9.451022E-19
6903.89634799968  1.051594E-18
6905.26377546798  1.055066E-18
6906.63120293628  7.812801E-19
6907.99863040458  1.074561E-18
6909.36605787288  9.865084E-19
6910.73348534118  9.749284E-19
6912.10091280948  7.076928E-19
6913.46834027778  7.401960E-19
6914.83576774608  8.052133E-19
6916.20319521438  8.449485E-19
6917.57062268268  7.922337E-19
6918.93805015098  8.085343E-19
6920.30547761928  7.916856E-19
6921.67290508758  7.624372E-19
6923.04033255588  8.710279E-19
6924.40776002418  8.804803E-19
6925.77518749248  7.917007E-19
6927.14261496078  7.932494E-19
6928.51004242908  8.791746E-19
6929.87746989738  7.854669E-19
6931.24489736568  7.872603E-19
6932.61232483398  6.979344E-19
6933.97975230228  7.597831E-19
6935.34717977058  1.079664E-18
6936.71460723888  8.598230E-19
6938.08203470718  8.526046E-19
6939.44946217548  8.906880E-19
6940.81688964378  1.058927E-18
6942.18431711208  8.569273E-19
6943.55174458038  7.865943E-19
6944.91917204868  9.285984E-19
6946.28659951698  8.782454E-19
6947.65402698528  1.009931E-18
6949.02145445358  8.497669E-19
6950.38888192188  9.738853E-19
6951.75630939018  6.997887E-19
6953.12373685848  9.328144E-19
6954.49116432678  6.843799E-19
6955.85859179508  6.668338E-19
6957.22601926338  7.309241E-19
6958.59344673168  1.028223E-18
6959.96087419998  6.382884E-19
6961.32830166828  7.312853E-19
6962.69572913658  7.639046E-19
6964.06315660488  8.521402E-19
6965.43058407318  5.758410E-19
6966.79801154148  5.887928E-19
6968.16543900978  6.875568E-19
6969.53286647808  9.150962E-19
6970.90029394638  6.865438E-19
6972.26772141468  7.044505E-19
6973.63514888298  6.341344E-19
6975.00257635128  6.135269E-19
6976.37000381958  2.793194E-19
6977.73743128788  4.423565E-19
6979.10485875618  7.058937E-19
6980.47228622448  6.410772E-19
6981.83971369278  9.205495E-19
6983.20714116108  8.509279E-19
6984.57456862938  9.213986E-19
6985.94199609768  8.085202E-19
6987.30942356598  5.437592E-19
6988.67685103428  6.821850E-19
6990.04427850258  7.630885E-19
6991.41170597088  5.862043E-19
6992.77913343918  6.109722E-19
6994.14656090748  6.906222E-19
6995.51398837578  7.615992E-19
6996.88141584408  6.628653E-19
6998.24884331238  6.761634E-19
6999.61627078068  7.517617E-19
7000.98369824898  6.323865E-19
7002.35112571728  8.044082E-19
7003.71855318558  4.475858E-19
7005.08598065388  5.999674E-19
7006.45340812218  7.009074E-19
7007.82083559048  6.583446E-19
7009.18826305878  7.293891E-19
7010.55569052708  7.660392E-19
7011.92311799538  5.290988E-19
7013.29054546368  7.809466E-19
7014.65797293198  6.724938E-19
7016.02540040027  6.658964E-19
7017.39282786857  5.249152E-19
7018.76025533687  6.356631E-19
7020.12768280518  5.425088E-19
7021.49511027347  7.851473E-19
7022.86253774177  3.474646E-19
7024.22996521007  5.547880E-19
7025.59739267837  6.526643E-19
7026.96482014667  9.445253E-19
7028.33224761497  8.193881E-19
7029.69967508327  7.267790E-19
7031.06710255157  7.533590E-19
7032.43453001987  6.032029E-19
7033.80195748818  7.355384E-19
7035.16938495647  5.551914E-19
7036.53681242477  5.780899E-19
7037.90423989307  5.851172E-19
7039.27166736137  6.294463E-19
7040.63909482967  6.196016E-19
7042.00652229797  8.725842E-19
7043.37394976627  5.060346E-19
7044.74137723457  8.474990E-19
7046.10880470287  8.425505E-19
7047.47623217117  7.501812E-19
7048.84365963947  7.126036E-19
7050.21108710777  8.547358E-19
7051.57851457607  8.124180E-19
7052.94594204437  7.291904E-19
7054.31336951267  6.888031E-19
7055.68079698097  8.087848E-19
7057.04822444927  7.838449E-19
7058.41565191757  5.837816E-19
7059.78307938587  4.412478E-19
7061.15050685417  6.925768E-19
7062.51793432247  5.974567E-19
7063.88536179077  4.960023E-19
7065.25278925907  5.654719E-19
7066.62021672737  5.513624E-19
7067.98764419567  6.794072E-19
7069.35507166397  9.426445E-19
7070.72249913227  4.654705E-19
7072.08992660057  6.011949E-19
7073.45735406887  4.888465E-19
7074.82478153717  6.298472E-19
7076.19220900547  -1.890714E-20
7077.55963647377  6.380097E-19
7078.92706394207  7.232058E-19
7080.29449141037  5.941449E-19
7081.66191887867  4.558959E-19
7083.02934634697  5.418224E-19
7084.39677381527  5.970336E-19
7085.76420128357  5.985262E-19
7087.13162875187  8.276847E-19
7088.49905622017  8.983412E-19
7089.86648368847  7.557824E-19
7091.23391115677  6.630885E-19
7092.60133862507  5.044911E-19
7093.96876609337  5.625634E-19
7095.33619356167  5.651463E-19
7096.70362102997  4.307315E-19
7098.07104849827  8.092257E-19
7099.43847596657  6.586058E-19
7100.80590343487  5.223096E-19
7102.17333090317  5.840489E-19
7103.54075837147  6.485746E-19
7104.90818583977  6.787172E-19
7106.27561330807  6.287293E-19
7107.64304077637  6.939269E-19
7109.01046824467  8.895571E-19
7110.37789571297  5.808418E-19
7111.74532318127  7.151792E-19
7113.11275064957  5.424925E-19
7114.48017811787  5.623063E-19
7115.84760558617  5.626019E-19
7117.21503305447  8.051542E-19
7118.58246052277  7.190954E-19
7119.94988799107  5.511406E-19
7121.31731545937  4.712271E-19
7122.68474292767  5.705045E-19
7124.05217039597  4.727202E-19
7125.41959786427  3.991206E-19
7126.78702533257  5.123134E-19
7128.15445280087  5.423020E-19
7129.52188026917  4.984329E-19
7130.88930773747  6.810324E-19
7132.25673520577  7.899409E-19
7133.62416267407  4.739978E-19
7134.99159014237  6.558458E-19
7136.35901761067  4.872255E-19
7137.72644507897  4.522157E-19
7139.09387254727  4.230519E-19
7140.46130001556  3.779175E-19
7141.82872748387  5.422523E-19
7143.19615495217  2.901196E-19
7144.56358242047  5.177877E-19
7145.93100988877  3.749655E-19
7147.29843735707  7.604897E-19
7148.66586482537  4.484472E-19
7150.03329229367  7.398443E-19
7151.40071976196  6.441855E-19
7152.76814723026  3.927373E-19
7154.13557469856  6.596476E-19
7155.50300216686  6.285821E-19
7156.87042963517  4.759279E-19
7158.23785710346  5.265312E-19
7159.60528457177  7.264483E-19
7160.97271204006  6.794980E-19
7162.34013950836  7.250701E-19
7163.70756697666  7.019157E-19
7165.07499444496  5.146179E-19
7166.44242191326  7.516239E-19
7167.80984938156  8.196069E-19
7169.17727684986  5.792229E-19
7170.54470431816  4.525576E-19
7171.91213178646  5.834198E-19
7173.27955925476  4.427593E-19
7174.64698672306  4.223437E-19
7176.01441419136  8.956239E-19
7177.38184165967  5.503261E-19
7178.74926912796  7.004443E-19
7180.11669659626  5.208489E-19
7181.48412406456  3.996786E-19
7182.85155153286  6.393859E-19
7184.21897900116  7.638274E-19
7185.58640646946  5.705345E-19
7186.95383393776  6.175500E-19
7188.32126140606  5.520914E-19
7189.68868887436  3.962140E-19
7191.05611634266  4.536535E-19
7192.42354381096  3.735413E-19
7193.79097127926  5.468182E-19
7195.15839874756  6.529779E-19
7196.52582621586  5.771189E-19
7197.89325368416  5.836705E-19
7199.26068115246  3.572173E-19
7200.62810862076  5.630502E-19
7201.99553608906  5.750885E-19
7203.36296355736  5.453880E-19
7204.73039102566  4.844774E-19
7206.09781849396  4.383395E-19
7207.46524596226  6.329733E-19
7208.83267343056  4.091220E-19
7210.20010089886  4.234134E-19
7211.56752836716  5.573577E-19
7212.93495583546  4.346192E-19
7214.30238330376  6.438593E-19
7215.66981077206  7.281136E-19
7217.03723824036  6.439984E-19
7218.40466570866  7.179798E-19
7219.77209317696  4.938902E-19
7221.13952064526  4.530096E-19
7222.50694811356  4.702282E-19
7223.87437558186  5.481704E-19
7225.24180305016  5.341151E-19
7226.60923051846  4.474934E-19
7227.97665798676  4.729479E-19
7229.34408545506  4.819889E-19
7230.71151292336  4.732147E-19
7232.07894039166  5.357886E-19
7233.44636785996  7.996001E-19
7234.81379532826  3.988135E-19
7236.18122279656  2.995467E-19
7237.54865026486  2.685695E-19
7238.91607773316  4.064731E-19
7240.28350520146  4.614433E-19
7241.65093266976  7.372563E-19
7243.01836013806  4.675795E-19
7244.38578760636  5.707627E-19
7245.75321507466  6.713348E-19
